node,difficulty,block_index,attempts,wall_time_s,server_time_s,overhead_s,attempt_rate,attempt_rate_wall,nonce,startup_seconds,rep
diff3,3,3,435,0.001119,0.0004,0.000719,1087500.0,388812.54668356234,434,0.2257,0
diff3,3,4,5644,0.005819,0.005,0.000819,1128800.0,969939.9472674079,5643,0.2257,1
diff3,3,5,3004,0.003749,0.0028,0.000949,1072857.142857143,801378.2573446423,3003,0.2257,2
diff3,3,6,4898,0.005317,0.0045,0.000817,1088444.4444444445,921203.267527976,4897,0.2257,3
diff3,3,7,2431,0.002944,0.0021,0.000844,1157619.0476190476,825840.726970669,2430,0.2257,4
diff3,3,8,1905,0.002479,0.0017,0.000779,1120588.2352941178,768558.3120844074,1904,0.2257,5
diff3,3,9,6758,0.006652,0.0059,0.000752,1145423.7288135593,1015992.3270196222,6757,0.2257,6
diff3,3,10,4341,0.004386,0.0037,0.000686,1173243.243243243,989646.2308731653,4340,0.2257,7
diff3,3,11,329,0.000978,0.0003,0.000678,1096666.6666666667,336372.31092302146,328,0.2257,8
diff3,3,12,909,0.001484,0.0008,0.000684,1136250.0,612705.4254335215,908,0.2257,9
diff3,3,13,843,0.001246,0.0007,0.000546,1204285.7142857143,676700.8470359998,842,0.2257,10
diff3,3,14,589,0.001185,0.0005,0.000685,1178000.0,497238.5121667122,588,0.2257,11
diff3,3,15,987,0.00152,0.0009,0.00062,1096666.6666666667,649413.458316667,986,0.2257,12
diff3,3,16,2698,0.003127,0.0025,0.000627,1079200.0,862669.8781246394,2697,0.2257,13
diff3,3,17,71,0.00083,0.0001,0.00073,710000.0,85512.20446923113,70,0.2257,14
diff3,3,18,13810,0.013068,0.0123,0.000768,1122764.2276422763,1056810.2469119744,13809,0.2257,15
diff3,3,19,1210,0.001949,0.0011,0.000849,1100000.0,620857.6187973648,1209,0.2257,16
diff3,3,20,17433,0.015508,0.0146,0.000908,1194041.095890411,1124147.605044459,17432,0.2257,17
diff3,3,21,2089,0.002787,0.0019,0.000887,1099473.6842105263,749596.1297636523,2088,0.2257,18
diff3,3,22,11005,0.010616,0.0098,0.000816,1122959.1836734693,1036618.404260718,11004,0.2257,19
diff3,3,23,6292,0.006312,0.0055,0.000812,1144000.0,996864.4371152007,6291,0.2257,20
diff3,3,24,3489,0.003714,0.0029,0.000814,1203103.4482758623,939386.76554368,3488,0.2257,21
diff3,3,25,2668,0.002979,0.0023,0.000679,1160000.0,895615.1912241852,2667,0.2257,22
diff3,3,26,4351,0.004502,0.0038,0.000702,1145000.0,966450.342961513,4350,0.2257,23
diff3,3,27,850,0.001318,0.0007,0.000618,1214285.7142857143,644896.0220966563,849,0.2257,24
diff3,3,28,102,0.000619,0.0001,0.000519,1020000.0,164648.92525515534,101,0.2257,25
diff3,3,29,3576,0.003609,0.003,0.000609,1192000.0,990810.6153049592,3575,0.2257,26
diff3,3,30,8777,0.008854,0.008,0.000854,1097125.0,991252.0780385641,8776,0.2257,27
diff3,3,31,335,0.001127,0.0003,0.000827,1116666.6666666667,297227.42161860113,334,0.2257,28
diff3,3,32,15138,0.014089,0.0133,0.000789,1138195.4887218045,1074420.238972534,15137,0.2257,29
diff3,3,33,1102,0.001672,0.0009,0.000772,1224444.4444444445,659206.0508926896,1101,0.2257,30
diff3,3,34,1281,0.001764,0.0011,0.000664,1164545.4545454546,726362.213868555,1280,0.2257,31
diff3,3,35,1652,0.002049,0.0014,0.000649,1180000.0,806246.948769986,1651,0.2257,32
diff3,3,36,7685,0.007419,0.0067,0.000719,1147014.9253731342,1035824.7090957363,7684,0.2257,33
diff3,3,37,12205,0.011597,0.0107,0.000897,1140654.2056074766,1052389.610526065,12204,0.2257,34
diff3,3,38,434,0.00117,0.0004,0.00077,1085000.0,371072.10990011593,433,0.2257,35
diff3,3,39,8946,0.008829,0.008,0.000829,1118250.0,1013304.4597605456,8945,0.2257,36
diff3,3,40,6102,0.006048,0.0053,0.000748,1151320.7547169812,1008956.4290997833,6101,0.2257,37
diff3,3,41,4850,0.00496,0.0041,0.00086,1182926.8292682925,977822.5709215746,4849,0.2257,38
diff3,3,42,1966,0.002344,0.0017,0.000644,1156470.5882352942,838572.9704113711,1965,0.2257,39
diff3,3,43,833,0.001357,0.0007,0.000657,1190000.0,613646.9484724294,832,0.2257,40
diff3,3,44,6957,0.007316,0.0066,0.000716,1054090.9090909092,950978.2182155079,6956,0.2257,41
diff3,3,45,9344,0.009477,0.0086,0.000877,1086511.6279069767,985974.6480865353,9343,0.2257,42
diff3,3,46,4331,0.004823,0.0039,0.000923,1110512.8205128205,898050.8107452461,4330,0.2257,43
diff3,3,47,3097,0.003283,0.0027,0.000583,1147037.037037037,943356.5868414462,3096,0.2257,44
diff3,3,48,98,0.000705,0.0001,0.000605,980000.0,139007.0896130454,97,0.2257,45
diff3,3,49,4966,0.004924,0.0043,0.000624,1154883.7209302327,1008589.262796169,4965,0.2257,46
diff3,3,50,2387,0.002657,0.0021,0.000557,1136666.6666666667,898438.090678556,2386,0.2257,47
diff3,3,51,389,0.000961,0.0003,0.000661,1296666.6666666667,404909.75569681515,388,0.2257,48
diff3,3,52,8558,0.008677,0.0079,0.000777,1083291.1392405063,986295.1425794407,8557,0.2257,49
diff3,3,53,744,0.00151,0.0007,0.00081,1062857.142857143,492552.1426930483,743,0.2257,50
diff3,3,54,10900,0.011206,0.0104,0.000806,1048076.9230769231,972667.8477240016,10899,0.2257,51
diff3,3,55,82,0.000819,0.0001,0.000719,820000.0,100183.25442086617,81,0.2257,52
diff3,3,56,2398,0.002737,0.0022,0.000537,1090000.0,876101.7014070341,2397,0.2257,53
diff3,3,57,1958,0.002373,0.0017,0.000673,1151764.705882353,825072.4469956028,1957,0.2257,54
diff3,3,58,8344,0.008356,0.0076,0.000756,1097894.7368421052,998598.8187144423,8343,0.2257,55
diff3,3,59,6232,0.006778,0.0059,0.000878,1056271.186440678,919416.91320164,6231,0.2257,56
diff3,3,60,3701,0.004309,0.0035,0.000809,1057428.5714285714,858891.6268179823,3700,0.2257,57
diff3,3,61,2206,0.002717,0.002,0.000717,1103000.0,811899.8105943151,2205,0.2257,58
diff3,3,62,2665,0.003187,0.0025,0.000687,1066000.0,836089.4399806925,2664,0.2257,59
diff3,3,63,18578,0.016669,0.0158,0.000869,1175822.7848101265,1114535.1264571634,18577,0.2257,60
diff3,3,64,5979,0.006568,0.0057,0.000868,1048947.3684210526,910340.1130166153,5978,0.2257,61
diff3,3,65,16535,0.015733,0.0147,0.001033,1124829.931972789,1050992.3680024014,16534,0.2257,62
diff3,3,66,1502,0.002046,0.0012,0.000846,1251666.6666666667,733950.9827829229,1501,0.2257,63
diff3,3,67,1123,0.001559,0.001,0.000559,1123000.0,720275.78338959,1122,0.2257,64
diff3,3,68,8821,0.008535,0.0078,0.000735,1130897.435897436,1033468.7613209927,8820,0.2257,65
diff3,3,69,3227,0.003823,0.003,0.000823,1075666.6666666667,844000.3821906319,3226,0.2257,66
diff3,3,70,83,0.000804,0.0001,0.000704,830000.0,103217.77065985347,82,0.2257,67
diff3,3,71,429,0.001024,0.0004,0.000624,1072500.0,418774.82506374666,428,0.2257,68
diff3,3,72,7146,0.007446,0.0067,0.000746,1066567.1641791044,959758.2434897011,7145,0.2257,69
diff3,3,73,315,0.001014,0.0003,0.000714,1050000.0,310689.18518518517,314,0.2257,70
diff3,3,74,1306,0.001793,0.0012,0.000593,1088333.3333333335,728371.4692751757,1305,0.2257,71
diff3,3,75,555,0.001151,0.0005,0.000651,1110000.0,482049.9936156922,554,0.2257,72
diff3,3,76,1968,0.002445,0.0018,0.000645,1093333.3333333333,805044.8971487824,1967,0.2257,73
diff3,3,77,2104,0.002411,0.0018,0.000611,1168888.888888889,872817.4944592008,2103,0.2257,74
diff3,3,78,3479,0.003631,0.003,0.000631,1159666.6666666667,958028.4909990266,3478,0.2257,75
diff3,3,79,12991,0.012254,0.0114,0.000854,1139561.403508772,1060140.0863305174,12990,0.2257,76
diff3,3,80,1087,0.001801,0.001,0.000801,1087000.0,603623.2748860505,1086,0.2257,77
diff3,3,81,8341,0.007842,0.0071,0.000742,1174788.732394366,1063626.1855480736,8340,0.2257,78
diff3,3,82,3427,0.003574,0.0029,0.000674,1181724.1379310347,958903.1041755471,3426,0.2257,79
diff3,3,83,4617,0.004812,0.0041,0.000712,1126097.5609756096,959501.2690922102,4616,0.2257,80
diff3,3,84,3420,0.004027,0.003,0.001027,1140000.0,849223.5642222947,3419,0.2257,81
diff3,3,85,1163,0.001917,0.0011,0.000817,1057272.7272727273,606584.6623623646,1162,0.2257,82
diff3,3,86,1686,0.002249,0.0015,0.000749,1124000.0,749833.2194348817,1685,0.2257,83
diff3,3,87,607,0.00125,0.0006,0.00065,1011666.6666666667,485422.16076188546,606,0.2257,84
diff3,3,88,2852,0.003299,0.0026,0.000699,1096923.076923077,864558.8903287954,2851,0.2257,85
diff3,3,89,14318,0.013082,0.0121,0.000982,1183305.7851239669,1094467.0808597112,14317,0.2257,86
diff3,3,90,1254,0.002023,0.0011,0.000923,1140000.0,619782.3017762203,1253,0.2257,87
diff3,3,91,7772,0.008063,0.0072,0.000863,1079444.4444444445,963924.1707228668,7771,0.2257,88
diff3,3,92,514,0.001303,0.0005,0.000803,1028000.0,394600.24891054805,513,0.2257,89
diff3,3,93,4905,0.005104,0.0044,0.000704,1114772.7272727273,960948.2899663608,4904,0.2257,90
diff3,3,94,1666,0.002227,0.0015,0.000727,1110666.6666666667,747979.3984813608,1665,0.2257,91
diff3,3,95,6474,0.006368,0.0057,0.000668,1135789.4736842106,1016692.3710243157,6473,0.2257,92
diff3,3,96,2584,0.003068,0.0023,0.000768,1123478.2608695652,842162.3364792832,2583,0.2257,93
diff3,3,97,5719,0.00591,0.0052,0.00071,1099807.6923076923,967756.9159637243,5718,0.2257,94
diff3,3,98,8042,0.008359,0.0076,0.000759,1058157.894736842,962119.9662928331,8041,0.2257,95
diff3,3,99,1165,0.001867,0.0011,0.000767,1059090.909090909,623982.0149247776,1164,0.2257,96
diff3,3,100,1001,0.001579,0.0009,0.000679,1112222.2222222222,634062.812087429,1000,0.2257,97
diff3,3,101,1052,0.00153,0.001,0.00053,1052000.0,687469.3368624488,1051,0.2257,98
diff3,3,102,5622,0.006062,0.0054,0.000662,1041111.111111111,927461.3553620729,5621,0.2257,99
diff3,3,103,641,0.001258,0.0006,0.000658,1068333.3333333335,509589.58442744997,640,0.2257,100
diff3,3,104,8657,0.008039,0.0074,0.000639,1169864.8648648649,1076914.348735567,8656,0.2257,101
diff3,3,105,6776,0.006774,0.006,0.000774,1129333.3333333333,1000276.7999986252,6775,0.2257,102
diff3,3,106,1262,0.001906,0.0012,0.000706,1051666.6666666667,662163.1127998075,1261,0.2257,103
diff3,3,107,5477,0.00593,0.0052,0.00073,1053269.2307692308,923673.5793238791,5476,0.2257,104
diff3,3,108,1341,0.002037,0.0013,0.000737,1031538.4615384616,658428.7093558351,1340,0.2257,105
diff3,3,109,633,0.001186,0.0006,0.000586,1055000.0,533726.8351399958,632,0.2257,106
diff3,3,110,4933,0.005187,0.0046,0.000587,1072391.3043478262,950993.2775897398,4932,0.2257,107
diff3,3,111,10891,0.010739,0.01,0.000739,1089100.0,1014130.4212106448,10890,0.2257,108
diff3,3,112,2046,0.002419,0.0017,0.000719,1203529.411764706,845891.4034280176,2045,0.2257,109
diff3,3,113,555,0.001029,0.0005,0.000529,1110000.0,539271.0324667965,554,0.2257,110
diff3,3,114,2597,0.00293,0.0023,0.00063,1129130.4347826086,886247.0753656792,2596,0.2257,111
diff3,3,115,4280,0.004664,0.0039,0.000764,1097435.8974358975,917691.8150738017,4279,0.2257,112
diff3,3,116,7003,0.007212,0.0065,0.000712,1077384.6153846155,970964.5096722607,7002,0.2257,113
diff3,3,117,149,0.000864,0.0001,0.000764,1490000.0,172503.6180342867,148,0.2257,114
diff3,3,118,242,0.000858,0.0003,0.000558,806666.6666666667,282202.2925277822,241,0.2257,115
diff3,3,119,2322,0.002853,0.0022,0.000653,1055454.5454545454,813998.8157869627,2321,0.2257,116
diff3,3,120,1327,0.001921,0.0012,0.000721,1105833.3333333335,690891.0710349313,1326,0.2257,117
diff3,3,121,12577,0.011758,0.011,0.000758,1143363.6363636365,1069624.4036391994,12576,0.2257,118
diff3,3,122,219,0.00098,0.0002,0.00078,1095000.0,223488.34068768323,218,0.2257,119
diff3,3,123,894,0.001361,0.0008,0.000561,1117500.0,656849.6647537281,893,0.2257,120
diff3,3,124,992,0.00148,0.0009,0.00058,1102222.2222222222,670119.4746433696,991,0.2257,121
diff3,3,125,2123,0.002596,0.002,0.000596,1061500.0,817783.3419918141,2122,0.2257,122
diff3,3,126,4887,0.005241,0.0045,0.000741,1086000.0,932374.1473140572,4886,0.2257,123
diff3,3,127,12,0.000742,0.0,0.000742,,16181.579028966,11,0.2257,124
diff3,3,128,611,0.001151,0.0006,0.000551,1018333.3333333334,530650.9618752697,610,0.2257,125
diff3,3,129,1856,0.002404,0.0018,0.000604,1031111.1111111111,772046.5426274723,1855,0.2257,126
diff3,3,130,2312,0.002894,0.0023,0.000594,1005217.3913043479,798779.1898010735,2311,0.2257,127
diff3,3,131,903,0.001478,0.0008,0.000678,1128750.0,610788.3989011856,902,0.2257,128
diff3,3,132,13159,0.012659,0.0119,0.000759,1105798.319327731,1039521.5663748819,13158,0.2257,129
diff3,3,133,1219,0.001922,0.0011,0.000822,1108181.8181818181,634276.4436650074,1218,0.2257,130
diff3,3,134,529,0.001042,0.0005,0.000542,1058000.0,507697.95413275366,528,0.2257,131
diff3,3,135,1200,0.001677,0.0011,0.000577,1090909.0909090908,715367.7620963516,1199,0.2257,132
diff3,3,136,306,0.000851,0.0003,0.000551,1020000.0000000001,359559.2775371615,305,0.2257,133
diff3,3,137,3935,0.004348,0.0038,0.000548,1035526.3157894737,905022.3193813202,3934,0.2257,134
diff3,3,138,11105,0.011046,0.0102,0.000846,1088725.4901960783,1005318.5574741646,11104,0.2257,135
diff3,3,139,6585,0.006955,0.0062,0.000755,1062096.7741935484,946744.2112295317,6584,0.2257,136
diff3,3,140,1006,0.001492,0.0009,0.000592,1117777.7777777778,674356.731253818,1005,0.2257,137
diff3,3,141,10477,0.010222,0.0094,0.000822,1114574.4680851062,1024983.7986383395,10476,0.2257,138
diff3,3,142,1810,0.002573,0.0017,0.000873,1064705.8823529412,703584.2214777395,1809,0.2257,139
diff3,3,143,646,0.001284,0.0006,0.000684,1076666.6666666667,503147.83712188184,645,0.2257,140
diff3,3,144,638,0.001157,0.0006,0.000557,1063333.3333333335,551584.8484963406,637,0.2257,141
diff3,3,145,112,0.000727,0.0001,0.000627,1120000.0,154110.7415569071,111,0.2257,142
diff3,3,146,9152,0.009458,0.0086,0.000858,1064186.046511628,967680.4944246324,9151,0.2257,143
diff3,3,147,1994,0.002738,0.0019,0.000838,1049473.6842105263,728357.407749322,1993,0.2257,144
diff3,3,148,1446,0.001993,0.0014,0.000593,1032857.1428571428,725402.8491117366,1445,0.2257,145
diff3,3,149,2250,0.002416,0.0019,0.000516,1184210.5263157894,931419.7480899425,2249,0.2257,146
diff3,3,150,1622,0.001889,0.0014,0.000489,1158571.4285714286,858674.4473492154,1621,0.2257,147
diff3,3,151,3664,0.004061,0.0034,0.000661,1077647.0588235294,902268.5644740544,3663,0.2257,148
diff3,3,152,105,0.000715,0.0001,0.000615,1050000.0,146896.08420054175,104,0.2257,149
diff3,3,153,863,0.001321,0.0008,0.000521,1078750.0,653292.9366214212,862,0.2257,150
diff3,3,154,4919,0.005233,0.0046,0.000633,1069347.8260869565,940003.742273224,4918,0.2257,151
diff3,3,155,443,0.001106,0.0004,0.000706,1107500.0,400376.69116436783,442,0.2257,152
diff3,3,156,8065,0.008359,0.0076,0.000759,1061184.2105263157,964770.6232327244,8064,0.2257,153
diff3,3,157,877,0.001503,0.0008,0.000703,1096250.0,583499.6534017749,876,0.2257,154
diff3,3,158,110,0.000755,0.0001,0.000655,1100000.0,145711.37502991664,109,0.2257,155
diff3,3,159,8350,0.00832,0.0076,0.00072,1098684.2105263157,1003595.7682108968,8349,0.2257,156
diff3,3,160,1603,0.002025,0.0014,0.000625,1145000.0,791474.4205557056,1602,0.2257,157
diff3,3,161,770,0.001284,0.0007,0.000584,1100000.0,599688.4743971517,769,0.2257,158
diff3,3,162,354,0.000948,0.0003,0.000648,1180000.0,373417.72120789986,353,0.2257,159
diff3,3,163,14084,0.013294,0.0126,0.000694,1117777.7777777778,1059395.4181340006,14083,0.2257,160
diff3,3,164,6911,0.007636,0.0067,0.000936,1031492.5373134328,905015.5492946478,6910,0.2257,161
diff3,3,165,2484,0.003093,0.0023,0.000793,1080000.0,802995.5736725022,2483,0.2257,162
diff3,3,166,3269,0.003764,0.0031,0.000664,1054516.1290322582,868490.9617992588,3268,0.2257,163
diff3,3,167,3243,0.0034,0.0028,0.0006,1158214.2857142857,953718.3672598423,3242,0.2257,164
diff3,3,168,2735,0.003009,0.0024,0.000609,1139583.3333333335,909053.1375506445,2734,0.2257,165
diff3,3,169,219,0.0008,0.0002,0.0006,1095000.0,273835.58118838974,218,0.2257,166
diff3,3,170,249,0.000738,0.0002,0.000538,1245000.0,337607.8675867399,248,0.2257,167
diff3,3,171,6895,0.006661,0.0061,0.000561,1130327.868852459,1035078.1280932361,6894,0.2257,168
diff3,3,172,3076,0.003672,0.0029,0.000772,1060689.655172414,837662.1050341128,3075,0.2257,169
diff3,3,173,4029,0.004577,0.0039,0.000677,1033076.9230769231,880327.0904717962,4028,0.2257,170
diff3,3,174,5344,0.005894,0.0051,0.000794,1047843.1372549019,906620.5937608095,5343,0.2257,171
diff3,3,175,5940,0.006165,0.0054,0.000765,1100000.0,963562.252002437,5939,0.2257,172
diff3,3,176,853,0.001386,0.0007,0.000686,1218571.4285714286,615310.8759106998,852,0.2257,173
diff3,3,177,5789,0.005739,0.005,0.000739,1157800.0,1008749.0415639129,5788,0.2257,174
diff3,3,178,8897,0.008777,0.008,0.000777,1112125.0,1013667.3637452893,8896,0.2257,175
diff3,3,179,2058,0.002595,0.0019,0.000695,1083157.894736842,793203.5816094318,2057,0.2257,176
diff3,3,180,10930,0.010892,0.0101,0.000792,1082178.2178217822,1003507.9505696155,10929,0.2257,177
diff3,3,181,3223,0.003762,0.003,0.000762,1074333.3333333333,856620.8612774274,3222,0.2257,178
diff3,3,182,4853,0.005037,0.0043,0.000737,1128604.6511627906,963462.2707952614,4852,0.2257,179
