node,difficulty,block_index,attempts,wall_time_s,server_time_s,overhead_s,attempt_rate,attempt_rate_wall,nonce,extra_transactions,transactions_in_block,rep
payload,4,1,107267,0.121007,0.12,0.001007,893891.6666666667,886451.6261945167,107266,1,2,0
payload,4,2,41444,0.045941,0.0449,0.001041,923028.9532293986,902106.2130422775,41443,1,2,1
payload,4,3,143607,0.153734,0.1529,0.000834,939221.7135382602,934125.7188898835,143606,1,2,2
payload,4,4,78920,0.086879,0.0859,0.000979,918742.7240977881,908387.216687395,78919,1,2,3
payload,4,5,26815,0.030021,0.0291,0.000921,921477.6632302406,893195.6822845896,26814,1,2,4
payload,4,6,34855,0.131089,0.1302,0.000889,267703.53302611364,265887.8921261033,34854,10,11,0
payload,4,7,81072,0.314482,0.3136,0.000882,258520.40816326533,257795.29061364624,81071,10,11,1
payload,4,8,56160,0.206143,0.2052,0.000943,273684.2105263158,272432.35327069176,56159,10,11,2
payload,4,9,39235,0.141615,0.1407,0.000915,278855.72139303485,277054.4734382374,39234,10,11,3
payload,4,10,48487,0.176104,0.1752,0.000904,276752.28310502286,275331.3611089726,48486,10,11,4
payload,4,11,93213,2.883571,2.8826,0.000971,32336.432387428016,32325.547774856994,93212,100,101,0
payload,4,12,19011,0.557254,0.5563,0.000954,34174.006830846665,34115.481697522,19010,100,101,1
payload,4,13,43442,1.375364,1.3743,0.001064,31610.27432147275,31585.820190657974,43441,100,101,2
payload,4,14,25231,0.826451,0.8255,0.000951,30564.50635978195,30529.331056667717,25230,100,101,3
payload,4,15,15879,0.456336,0.4554,0.000936,34868.24769433465,34796.76045223133,15878,100,101,4
payload,4,16,93033,27.222973,27.2216,0.001373,3417.6168924677463,3417.4445813912403,93032,1000,1001,0
payload,4,17,49524,14.837142,14.836,0.001142,3338.0965219735776,3337.839657707108,49523,1000,1001,1
payload,4,18,71649,22.566946,22.5658,0.001146,3175.114553882424,3174.953343701538,71648,1000,1001,2
payload,4,19,153059,46.877166,46.8756,0.001566,3265.2168718907064,3265.107818694369,153058,1000,1001,3
payload,4,20,234229,74.397934,74.3965,0.001434,3148.3873569321136,3148.326684974763,234228,1000,1001,4
